roll,pitch,yaw,acc_x,acc_y,acc_z,label
15890,45430,-67620,-195,-1387,674,0
-53480,-85400,-34300,192,-815,69,0
-7700,-80640,27860,-257,-800,-325,0
143920,79030,82460,-515,-649,-715,0
15400,77700,-86730,-758,-1332,620,0
-32130,-90230,-88970,105,-728,-102,0
180810,-101990,69160,120,-386,-409,0
356440,33670,-24990,-198,-566,639,0
59010,-34860,-44100,90,87,1389,0
-336700,139160,28700,-206,-200,802,0
76370,-47880,128170,-894,-185,-533,0
62090,-273840,-28140,-603,-209,1157,0
-375410,179760,97090,38,-129,787,0
33670,67690,196560,-857,-157,-694,0
210140,-178290,10500,-810,-556,400,0
